Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2019-01-02,37.46920394897461,37.6898641400753,36.59368814570471,36.75028523353009,148158800
2019-01-03,33.73698425292969,34.57453619881333,33.69190295843866,34.16169045076521,365248800
2019-01-04,35.177207946777344,35.24601741169735,34.11899903898665,34.29220295413125,234428400
2019-01-07,35.098899841308594,35.312442278685964,34.61724819958452,35.281596415192155,219111200
2019-01-08,35.768009185791016,36.021886677011715,35.23890465732075,35.48566080598781,164101200
2019-01-09,36.375404357910156,36.66487039683081,35.50226350768915,35.89612398881753,180396400
2019-01-10,36.49165725708008,36.53199220371461,35.79409185202172,36.18320950118543,143122800
2019-01-11,36.13337326049805,36.467920445919106,35.94830537503224,36.27336347778563,108092800
2019-01-14,35.59006118774414,35.89139138618135,35.40499315920053,35.79173964930465,129756800
2019-01-15,36.31844711303711,36.39437064050049,35.601900041747044,35.6540990508056,114843600
2019-01-16,36.76215362548828,36.98518520942271,36.30185501531,36.320836811858406,122278800
2019-01-17,36.98042297363281,37.40750416153968,36.36352752216668,36.586559010318375,119284800
2019-01-18,37.20820617675781,37.459708573550046,37.00889918007144,37.369545970773025,135004000
2019-01-22,36.37302780151367,37.186851783715795,36.211684376745275,37.110928234724035,121576000
2019-01-23,36.52013397216797,36.80959998409829,35.99340097474768,36.57470436511674,92522400
2019-01-24,36.23067855834961,36.65301362642966,36.00290421307908,36.56522597464914,101766000
2019-01-25,37.431236267089844,37.519027508765205,36.615040923074886,36.89026785958372,134142000
2019-01-28,37.0848388671875,37.09195658871479,36.45845402993215,36.96383036040819,104768400
2019-01-29,36.70046615600586,37.51904038821024,36.565225817907695,37.07297716838964,166348800
2019-01-30,39.208370208740234,39.421909052183295,38.017288901847,38.73383622739391,244439200
2019-01-31,39.49072265625,40.098125636928835,39.04465950838577,39.41242410665209,162958400
2019-02-01,39.50970458984375,40.09337942283648,39.36971429863973,39.61410265633867,130672400
2019-02-04,40.63197326660156,40.72925360434192,39.69002299817537,39.72086886633868,125982000
2019-02-05,41.32716369628906,41.54070616529914,40.89296827882337,41.013973143644144,144406400
2019-02-06,41.341407775878906,41.65697335385666,41.011606755653766,41.43868450470518,112958400
2019-02-07,40.558414459228516,41.27021533462275,40.41605283598708,40.90482219115942,126966800
2019-02-08,40.6060791015625,40.665650250891964,40.131891443963546,40.26771540968325,95280000
2019-02-11,40.37255096435547,40.79670082315533,40.329661489113064,40.7585744212062,83973600
2019-02-12,40.72045135498047,40.74666280397595,40.43689212564779,40.53220813832866,89134000
2019-02-13,40.55126953125,41.099324812062115,40.48931684716783,40.83959548318567,89960800
2019-02-14,40.699005126953125,40.808613992609324,40.3606414751641,40.43927581927432,87342800
2019-02-15,40.608455657958984,40.91345961424227,40.44880543364929,40.80623228578758,98507200
2019-02-19,40.72998046875,40.851507928428646,40.38685373654159,40.4392766336708,75891200
2019-02-20,40.992095947265625,41.29948509114437,40.7442815842349,40.791937772979175,104457600
2019-02-21,40.76095962524414,41.07311184292857,40.57986465359283,40.93729152317362,68998800
2019-02-22,41.21607971191406,41.22322795767942,40.83720814261498,40.88486432636196,75652800
2019-02-25,41.51632308959961,41.90710967168657,41.44960369528727,41.499645058988676,87493600
2019-02-26,41.540157318115234,41.77129368525542,41.26374629243125,41.392422020496234,68280800
2019-02-27,41.6688117980957,41.69978994841313,41.15888308359243,41.273262268179934,111341600
2019-02-28,41.25896072387695,41.67834378107171,41.20415630560555,41.53775679527711,112861600
2019-03-01,41.692657470703125,41.735546954193026,41.19702505785762,41.52824051212283,103544800
2019-03-04,41.90234375,42.35508298576963,41.45436758783305,41.86421734557429,109744800
2019-03-05,41.82609939575195,41.93809345893184,41.59019631110894,41.92379696336586,78949600
2019-03-06,41.58543014526367,41.81656650222476,41.44722463850816,41.621171381521776,83241600
2019-03-07,41.10409927368164,41.566372044364236,40.98972366767753,41.4305480580372,99185600
2019-03-08,41.2017936706543,41.23992008169563,40.3892422605175,40.584637390153304,95997600
2019-03-11,42.629112243652344,42.68153514499979,41.783204847044914,41.81656454463562,128044000
2019-03-12,43.10805892944336,43.527438429638856,42.74109868533032,42.891219115734174,129870400
2019-03-13,43.2986946105957,43.677566237487994,43.11044774766869,43.42736668986569,124130000
2019-03-14,43.78002166748047,43.86818942807558,43.50122916555662,43.82052960680952,94318000
2019-03-15,44.349525451660156,44.63785139707803,43.7824106162076,44.04690664893718,156171600
2019-03-18,44.80226135253906,44.89042547105156,44.27088419713954,44.273269369596825,104879200
2019-03-19,44.44723129272461,45.03341307639729,44.30187752445981,44.8809110601797,126585600
2019-03-20,44.83562469482422,45.152543603093804,44.01830674487972,44.37573359295211,124140800
2019-03-21,46.48695373535156,46.7824280245225,45.228811013616244,45.27885239233845,204136800
2019-03-22,45.52427291870117,47.10648249507304,45.45993505954188,46.546512238552936,169630800
2019-03-25,44.97383499145508,45.74587473890536,44.46390611241121,45.63388069031745,175381200
2019-03-26,44.50917053222656,45.96032623886354,43.982563700573884,45.66961879021226,199202000
2019-03-27,44.909488677978516,45.21687414252472,44.45198278594525,44.97620805998751,119393600
2019-03-28,44.96907043457031,45.16922862786753,44.68551117609868,45.023874875034785,83121600
2019-03-29,45.26216125488281,45.29313941789581,44.92617907983829,45.23356826498443,94256000
2019-04-01,45.569541931152344,45.67438408651486,44.88804792365926,45.66485430363971,111448000
2019-04-02,46.23197555541992,46.33682135310815,45.52427005695858,45.5337998404147,91062800
2019-04-03,46.54889678955078,46.822922617672326,46.024667775160154,46.048497688881305,93087200
2019-04-04,46.62991714477539,46.79194893860823,46.02229064603285,46.41545880854789,76457200
2019-04-05,46.94206237792969,46.965892290363215,46.68709613144077,46.811005131413616,74106400
2019-04-08,47.680755615234375,47.71173014450236,46.78480308511343,46.80386629170483,103526800
2019-04-09,47.53777313232422,48.33602791999754,47.47343527844449,47.73316823079818,143072800
2019-04-10,47.80466079711914,47.833257424849805,47.223245724372106,47.34238803810109,86781200
2019-04-11,47.40671920776367,47.89520335222447,47.28519537386603,47.85946211752939,83603200
2019-04-12,47.38764953613281,47.690271947006345,46.75381536646613,47.466283877663756,111042800
2019-04-15,47.47344207763672,47.621181009035936,47.182734561059235,47.31855853470994,70146400
2019-04-16,47.47819900512695,47.98336111335143,47.31378207550533,47.52824036298592,102785600
2019-04-17,48.402740478515625,48.46231161438307,47.3256933239708,47.54729620414958,115627200
2019-04-18,48.57669448852539,48.64579541672132,48.25739402484164,48.400362590881734,96783200
2019-04-22,48.73634338378906,48.834040931260986,48.214499587608906,48.33126033721687,77758000
2019-04-23,49.43927764892578,49.50361549579041,48.586218519593615,48.712509040814076,93292000
2019-04-24,49.363037109375,49.6775708811361,49.33682565873371,49.4106933007407,70162400
2019-04-25,48.91506576538086,49.506010596011244,48.87693935413123,49.28440764800036,74172800
2019-04-26,48.68153762817383,48.848336097417246,48.16207538289125,48.82450618641079,74596400
2019-04-29,48.75539779663086,49.079464902654784,48.57668439924854,48.70535644555312,88818800
2019-04-30,47.816566467285156,48.467082355820594,47.444843102407766,48.38606647084663,186139600
2019-05-01,50.163665771484375,51.305047195466486,49.85627665797254,50.01116380100785,259309200
2019-05-02,49.83721923828125,50.671215281428715,49.594171580722325,50.00163618282265,127985200
2019-05-03,50.45676040649414,50.478205146321336,50.094566822586664,50.25183551985448,83569600
2019-05-06,49.677574157714844,49.7633567622048,48.490917825549325,48.679161066436805,129772400
2019-05-07,48.33841323852539,49.42499041337888,47.854695800035216,49.05803373574075,155054800
2019-05-08,48.34794235229492,48.92935733960514,48.073916525359294,48.109657759852,105358000
2019-05-09,47.8284912109375,48.057242419549205,46.861056195160906,47.75223838411033,139634400
2019-05-10,47.16588592529297,47.565356793291954,46.111007044630455,47.223295764690995,164834800
2019-05-13,44.42464065551758,45.32403977104099,43.73813138927743,44.90065443085275,229722400
2019-05-14,45.12788391113281,45.376652571018006,44.35047683033014,44.589679009038655,146118800
2019-05-15,45.66847610473633,45.867014336204704,44.49638697671878,44.55618751692244,106178800
2019-05-16,45.467559814453125,46.039252991844464,45.17094773855048,45.4268958737944,132125600
2019-05-17,45.2092170715332,45.663699804341405,44.67340281448622,44.7140667516376,131516400
2019-05-20,43.79553985595703,44.09693703228056,43.12338210548431,43.89839872325471,154449200
2019-05-21,44.63513946533203,44.970021141517655,44.18065301915265,44.30503920599439,113459200
2019-05-22,43.72139358520508,44.42225818182763,43.6663780813545,44.17109505129822,118994400
2019-05-23,42.975074768066406,43.18557025463366,42.53254916971738,43.008562935243226,146118800
2019-05-24,42.81003952026367,43.56831043698764,42.72631724825363,43.104257352003906,94858800
2019-05-28,42.63301467895508,43.197532117519515,42.55647185928589,42.79806481034798,111792800
2019-05-29,42.4296875,42.900916127061286,42.09958729527348,42.20005178150852,113924800
2019-05-30,42.649757385253906,42.87221370220988,42.259856591093225,42.56603514665155,84873600
2019-05-31,41.877132415771484,42.57560242696121,41.85799580108924,42.15460420382392,108174400
2019-06-03,41.45375061035156,42.558863836181885,40.72896808562691,42.0039165147465,161584400
2019-06-04,42.97028350830078,43.01573251076257,41.74556939956014,41.96563498785348,123872000
2019-06-05,43.66397476196289,44.25002316291043,43.32909308993842,44.08018796856743,119093600
2019-06-06,44.3050422668457,44.36484283100569,43.57068958699141,43.79314958363369,90105200
2019-06-07,45.48430252075195,45.90769148933359,44.43659923654732,44.61360655057878,122737600
2019-06-10,46.06555938720703,46.732931908705964,45.835923672858236,45.88137267413092,104883600
2019-06-11,46.598976135253906,46.8836273136479,46.309543541210125,46.61093697424961,107731600
